ROW ID,CASE_OWNER_AGENCY,CONTENT
11,BB,"Rennovation going on inside #10-743 - on going way before office hours, and the paper pasted on the lift showss is from 19 aug onwards - rennovation always exceed 6pm_Rennovation going on inside #10-743 - on going way before office hours, and the paper pasted on the lift showss is from 19 aug onwards - rennovation always exceed 6pm"
12,CC,"Food-Hygiene/Conditions-Noise nuisance-Exhaust System-LAM SOON INDUSTRIAL BUILDING-HILLVIEW AVENUE-63-669569_From:	tayjimmie@gmail.com			Received:	31/7/2017 12:52:10 PM
To:	CHEW_Sock_Leng@pmo.gov.sg; nea_qsm@nea.gov.sg; pmo_hq@pmo.gov.sg; pp2391@gmail.com; SMITA_CHOUDHURI@ura.gov.sg; tan_kay_keng@nea.gov.sg; URA_SIU@ura.gov.sg; yenling@bukitgombak.org.sg
Subject:	Fwd: New Ubin Seafood
Re:? Ubin Seafood at 63 Hillview 
Dear Honourable PM Lee 
Thank you for directing/referring? this case to URA and NEA? 
My name is Jimmie Tay and I am a resident of Blk 55 #02-11 Parc Palais Singapore 598752 
There are a total of 517 units of residential homes in Parc Palais?
 
 There are 195 units of residential homes in Blk 53 and Blk 55 alone. These residential homes are located closer to Ubin Seafood or Lam Soon which have been very badly affected by the smell and noise since day 1 of the operation of UBIN Seafood at Lam Soon. 
There is a signed petition of 112 units from blk 53 and Blk 55 regarding the smell and the noise. This petition shows how the large majority of residents are seriously and badly affected by the noise and smell. As you know, most Singaporeans are apathetic unless they are affected.? 
? 
Therefore, I am surprised by the reply of Ms Smita Choudhuri from URA dated 17JUL17 
 ? 
Also? this email QTE? 
? 
From:?Smita CHOUDHURI (URA)?<SMITA_CHOUDHURI@ura.gov.sg>
 Date: Fri, Mar 31, 2017 at 4:24 PM
 Subject: EEG170772: CLARIFICATION ON USAGE OF INDUSTRIAL CANTEEN-LAM SOON INDUSTRIAL BUILDING AT 63 HILLVIEW AVE (ES20140430R0190)
 To: """"""""caureentoo@gmail.com"""""""" <caureentoo@gmail.com>, Parc Palais <pp2391@gmail.com>
 Cc: """"""""Kay Keng TAN (NEA)"""""""" <TAN_Kay_Keng@nea.gov.sg> 
Dear Ms Caureen Too /Mr Eddy Lim 
? 
I refer to your emails dated 20-03-2017 and 22-03-2017.? 
? 
The canteen at the 6th storey of the Lam Soon building is an approved use which has been operating since the 1980s. Our checks show that the premises is currently being operated as a canteen serving primarily the factory workers although it is also open to the public.?Ubin Seafood is one of the food stalls operating in the canteen in line with the approved use and the premises is not considered a restaurant.?? 
? 
With regard to your feedback on fumes and smell etc, the operator has to comply with NEA's licensing requirements which we understand NEA has already liaised with the operator to take improvement measures.? We also wish to clarify that business operation matters such as the type of food sold and opening hours etc. are up to individual food operators to decide and not subject to planning controls. 
? 
Thank you 
? 
"""""""" SAVE PAPER - THINK GREEN BEFORE YOU PRINT """""""" 
Smita Choudhuri (Ms) ??Senior Planner, Development Control Group???Urban Redevelopment Authority???Tel:?+65 6321 8041???Fax: +65?62274792???Email:???? ????Smita_CHOUDHURI@ura.gov.sg????Website:?http://www.ura.gov.sg 
<image015.jpg> 
 ? 
?????????? UNQTE 
? 
I wonder if Ms Smita has visited the said restaurant in the evening during operating hours as her email dated 31March17 to consider it as a canteen and not a restaurant.???????????????????????????????????????????????????????????????????????????? As any patron or customers going to Ubin Seafood will tell you, this is a restaurant and not a canteen. Pls see link ??http://sethlui.com/new-ubin-seafood-singapore/ 
? 
The smell from the exhaust fans is still ongoing . Mr Tan and his team from NEA is in communication with me to deal with this issue and will keep you updated when the issue is totally resolved or whether we need your further assistance. 
 As for our noise concerns, all the operator has done is to put up notices to remind their patrons to keep their volume down and officially shortened their operating hours to?10pm. These hardly help because they do not stop their patrons from talking loudly or staying beyond?10pm.? 
? 
The question on the minds of our residents is whether The URA considered the consequences and effect of issuing a restaurant license to the New Ubin Seafood Restaurant before the license was issued or was the license issued without consideration for the 517 or more residents and then treating the matter as a?fait accompli?and taking cosmetic steps to be seen to be doing something, albeit useless steps when complaints arise just to be seen to be doing something. 
? 
Many residents have complained to the police about the noise level since the opening of the restaurant. Imagine the waste of precious manpower resources because of the non-consideration of the URA on the effect of the restaurant on the tranquility enjoyed by the residents in this area. These resources can be put to to better use. 
? 
May we suggest that the URA either revoke the license or as a compromise, require the restaurant to install air-conditioning / enclose the restaurant so that the noise can be contained within the restaurant, rather than have an open concept. In this way, the restaurant can continue to operate and the noise from the restaurant can be reduced to an acceptable level. It will be very difficult if not impossible for the restaurant to stop its patrons from speaking loudly, especially when it is crowded. Hence, the compromise. 
? 
The posters/Notices approach that the restaurant has adopted, which the URA appears to accept, does not reduce the noise generated at ALL. 
? 
Our residents just want our peace back so that we can rest properly in our place call HOME when we get back from work. 
Lastly i would personally like to thank Mr Tan and his team from NEA to be very proactive to coming down to our units not one but more than 6 units of HOME to understand what we are facing and work on the problems we face with the operator.? 
? 
We shall be grateful if you can consider our suggestion.? 
? 
Thank you. 
? 
?Best Regards 
?Jimmie Tay"
13,AA,"Caller infd that ment unit is doing renovation, but there's some liquid dripping from the balcony side since last night. Req to check._Caller infd that ment unit is doing renovation, but there's some liquid dripping from the balcony side since last night. Req to check."
14,BB,STALLS ALONG BLK 442 USING LOUD SPEAKER - VERY NOISY_
15,CC,EMAIL I would like to share another feedback on the usage hours of the Badminton court.We have seen/ heard residents playing Badminton until 11pm-12 midnight on Saturday nights. While it is a good amenity and sports and I can really see residents making f_
16,AA,ment unit reno works permit expired 17jul stil doing drilling & mking alot of noise since morning req to chck & adv. BO pls follow up_ment unit reno works permit expired 17jul stil doing drilling & mking alot of noise since morning req to chck & adv. BO pls follow up
17,BB,"Claim r/top got work ongoing, yest they did paintng work & drilling work lots of droplets paint drop onto l/rm * bedrm window ledge quite mess.Contractor not do proper job._"
18,CC,"Feedback and complaint upper floor neighbour #10-481 making a lot of noise after mid night, inform him to check with HDB whether they are tenant or owner_"
19,AA,"Loud and noisy hacking inside #10-1569 . Resident says the paper stated hacking date is 24-26 july, but today the hacking still continue early in the morning and ongoing now_Loud and noisy hacking inside #10-1569 . Resident says the paper stated hacking date is 24-26 july, but today the hacking still continue early in the morning and ongoing now"
20,BB,Unknown unit from 10th flr doing hacking & making lot of noise with expired cpn. Caller ment he is a night shift taxi driver. Req HDB to adv them to stop ASAP._Unknown unit from 10th flr doing hacking & making lot of noise with expired cpn. Caller ment he is a night shift taxi driver. Req HDB to adv them to stop ASAP.
